title,textlist
Ache,"['ache', 'var', 'en', 'dansk', 'rockgruppe', 'der', 'blev', 'dannet', 'i', 'musikgruppen', 'bestod', 'oprindeligt', 'af', 'torsten', 'olafsson', 'født', 'januar', 'på', 'basguitarvokal', 'peter', 'mellin', 'født', 'juli', 'på', 'hammondorgel', 'finn', 'olafsson', 'født', 'februar', 'på', 'guitar', 'og', 'glenn', 'fischer', 'født', 'marts', 'på', 'trommer', 'med', 'denne', 'besætning', 'udgav', 'de', 'to', 'lper', 'inden', 'gruppen', 'opløstes', 'i', 'sommeren', 'i', 'blev', 'gruppen', 'gendannet', 'uden', 'torsten', 'og', 'glenn', 'men', 'udvidet', 'med', 'stig', 'kreutzfeldt', 'vokal', 'og', 'percussion', 'johnnie', 'gellett', 'vokal', 'guitar', 'og', 'percussion', 'steen', 'toft', 'andersen', 'bas', 'og', 'gert', 'smedegaard', 'trommer', 'i', 'de', 'følgende', 'år', 'turnerede', 'ache', 'med', 'forskellige', 'besætninger', 'men', 'også', 'med', 'lange', 'pauser', 'ind', 'imellem', 'efter', 'næsten', 'års', 'sammenhængende', 'pause', 'forsøgte', 'bandet', 'at', 'opnå', 'et', 'come', 'back', 'bla', 'med', 'nykomponeret', 'musik', 'som', 'ballast', 'denne', 'gang', 'fik', 'brødrene', 'olafsson', 'støtte', 'af', 'alex', 'nyborg', 'madsen', 'vokal', 'per', 'wium', 'orgel', 'hammond', 'p', 'og', 'keyboards', 'og', 'klaus', 'thrane', 'trommer', 'de', 'turnerede', 'i', 'mindre', 'end', 'et', 'år', 'inden', 'den', 'endelige', 'opløsning', 'af', 'ache', 'i', 'samledes', 'en', 'række', 'af', 'de', 'musikere', 'der', 'havde', 'været', 'med', 'i', 'ache', 'for', 'at', 'indspille', 'en', 'støttesang', 'til', 'bevar', 'christiania', 'initiativet', 'det', 'blev', 'til', 'singlen', 'de', 'skæve', 'drømme']"
ADS (band),"['for', 'alternative', 'betydninger', 'se', 'ads', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'ads', 'ads', 'var', 'dansk', 'punkband', 'med', 'bla', 'stig', 'pedersen', 'dad', 'og', 'lars', 'topgalia', 'sort', 'sol', 'der', 'eksisterede', 'fra', 'ads', 'havde', 'følgende', 'medlemmer', 'ved', 'starten', 'i', 'michael', 'funder', 'thorlasius', 'sang', 'stig', 'pedersen', 'bas', 'søren', 'slys', 'johnsen', 'karsten', 'hjarsø', 'trommer', 'og', 'guitar', 'senere', 'medlemmer', 'af', 'bandet', 'ucr', 'og', 'peter', 'topjensen', 'trommer', 'og', 'bror', 'til', 'sort', 'sols', 'lars', 'topgalia', 'i', 'blev', 'søren', 'søndergaard', 'johnsen', 'og', 'karsten', 'hjarsø', 'ucr', 'erstattet', 'af', 'lars', 'topgalia', 'guitar', 'senere', 'blev', 'stig', 'pedersen', 'erstattet', 'af', 'martin', 'krogh', 'bas', 'exmartin', 'and', 'the', 'martians', 'front', 'and', 'fantasy']"
The Alligators,"['the', 'alligators', 'er', 'en', 'dansk', 'musikgruppe']"
Alrune Rod,"['alrune', 'rod', 'var', 'et', 'dansk', 'band', 'der', 'spillede', 'syrerock', 'gruppen', 'blev', 'dannet', 'i', 'og', 'kaldte', 'sig', 'oprindeligt', 'alrunes', 'rod', 'men', 'skiftede', 'efter', 'udgivelsen', 'af', 'debutalbummet', 'alrune', 'rod', 'sonet', 'fra', 'navn', 'til', 'blot', 'alrune', 'rod', 'alrune', 'rod', 'blev', 'dannet', 'af', 'følgende', 'i', 'samarbejde', 'med', 'tekstforfatteren', 'laus', 'bengtsson', 'leif', 'roden', 'nielsen', 'sang', 'bas', 'og', 'guitar', 'flemming', 'giese', 'rasmussen', 'guitar', 'kurt', 'pastor', 'ziegler', 'simonsen', 'orgel', 'claus', 'from', 'rasmussen', 'trommer', 'karsten', 'høst', 'medvirkede', 'på', 'trommer', 'på', 'gruppens', 'anden', 'plade', 'hej', 'du', 'sonet', 'fra', 'og', 'siden', 'har', 'forskellige', 'musikere', 'spillet', 'med', 'gruppen', 'guitaristen', 'kenneth', 'kjær', 'frank', 'lauridsen', 'og', 'bent', 'hesselmann', 'jammede', 'med', 'bandet', 'ved', 'flere', 'koncerter', 'ole', 'poulsen', 'trådte', 'ind', 'i', 'stedet', 'for', 'kurt', 'ziegler', 'og', 'tom', 'lundn', 'optrådte', 'kortvarigt', 'med', 'gruppen', 'mikael', 'miller', 'guitar', 'medvirkede', 'på', 'den', 'engelsksprogede', 'alrune', 'rock', 'og', 'blev', 'derefter', 'fast', 'medlem', 'bandet', 'så', 'herefter', 'således', 'ud', 'leif', 'roden', 'født', 'københavn', 'død', 'samme', 'sted', 'sang', 'elbas', 'guitar', 'tekst', 'komposition', 'ole', 'poulsen', 'født', 'københavn', 'elguitar', 'guitar', 'vokal', 'mandolin', 'tekst', 'komposition', 'tom', 'lundn', 'født', 'københavn', 'piano', 'organ', 'acc', 'sang', 'komposition', 'karsten', 'høst', 'født', 'frederiksberg', 'trommer', 'perkussion', 'mikael', 'miller', 'født', 'greve', 'elguitar', 'guitar', 'vokal', 'komposition', 'medlemmerne', 'i', 'gruppen', 'har', 'alle', 'spillet', 'i', 'forskellige', 'københavnske', 'grupper', 'bla', 'rampb', 'section', 'poulsen', 'og', 'høst', 'samt', 'day', 'of', 'phoenix', 'høst', 'alrune', 'rod', 'har', 'siden', 'stået', 'markant', 'i', 'dansk', 'rock', 'og', 'gruppen', 'var', 'blandt', 'de', 'første', 'til', 'at', 'synge', 'danske', 'tekster', 'musikken', 'var', 'i', 'begyndelsen', 'tildels', 'et', 'hjemligt', 'sidestykke', 'til', 'den', 'udenlandskesyrerock', 'tildels', 'symfonisk', 'i', 'sin', 'opbygning', 'bandet', 'medvirkede', 'i', 'filmen', 'skæve', 'dage', 'i', 'thy', 'bandet', 'står', 'stadig', 'fast', 'placeret', 'som', 'danmarks', 'symfoniske', 'syrerockorkester', 'dette', 'skyldes', 'blandt', 'andet', 'den', 'minutters', 'lange', 'perlesøen', 'alrune', 'rod', 'var', 'hvad', 'borgerskabet', 'forstod', 'ved', 'erflippere', 'de', 'havde', 'langt', 'filtret', 'hår', 'afghanerpelse', 'batikfarvede', 'undertrøjer', 'og', 'blikke', 'der', 'var', 'indstillet', 'på', 'uendeligt', 'musikken', 'var', 'beslægtet', 'med', 'gratefuld', 'deads', 'tilbagelænende', 'improvisationsrock', 'drømmende', 'og', 'med', 'masser', 'af', 'tid', 'guitarerne', 'stemte', 'ikke', 'altid', 'men', 'stemning', 'var', 'unik']"
Among Relatives,"['among', 'relatives', 'er', 'et', 'dansk', 'rockband', 'etableret', 'i', 'de', 'indspillede', 'deres', 'debutalbum', 'this', 'room', 'i', 'silencestudiet', 'i', 'det', 'nordlige', 'sverige', 'der', 'udkom', 'i', 'det', 'modtog', 'fire', 'ud', 'af', 'seks', 'stjerner', 'i', 'musikmagasinet', 'gaffa', 'det', 'mest', 'kendte', 'nummer', 'er', 'lines', 'among', 'relatives', 'spiller', 'rock', 'inspireret', 'af', 'erne', 'og', 'bandet', 'har', 'bla', 'spillet', 'på', 'start', 'festival']"
Are We Brothers?,"['are', 'we', 'brothers', 'består', 'af', 'lasse', 'birk', 'ronko', 'og', 'shaka', 'alle', 'medlemmer', 'af', 'bandet', 'gypsies', 'det', 'betyder', 'dog', 'ikke', 'at', 'awb', 'er', 'et', 'sideprojekt', 'faktisk', 'spillede', 'de', 'fire', 'fyre', 'sammen', 'som', 'band', 'til', 'en', 'rockkoncert', 'længe', 'før', 'gypsies', 'blev', 'til', 'et', 'hiphoporkester', 'are', 'we', 'brothers', 'har', 'spillet', 'en', 'lang', 'række', 'koncerter', 'rundt', 'om', 'i', 'danmark', 'bla', 'som', 'opvarmning', 'for', 'engelske', 'foals', 'og', 'danske', 'mani', 'spinx', 'der', 'har', 'udnævnt', 'gruppen', 'til', 'sit', 'nye', 'yndlingsband', 'det', 'var', 'også', 'under', 'et', 'af', 'deres', 'jobs', 'i', 'det', 'jyske', 'at', 'jens', 'unmack', 'blev', 'opmærksom', 'på', 'awb', 'og', 'begyndte', 'at', 'efterlyse', 'en', 'plade', 'med', 'bandets', 'musik', 'are', 'we', 'brothers', 'fik', 'deres', 'pladekontrakt', 'på', 'grundlag', 'af', 'bare', 'to', 'demoer', 'hvoraf', 'den', 'ene', 'var', 'singlen', 'come', 'around', 'bandet', 'er', 'i', 'stald', 'hos', 'speed', 'of', 'sound', 'som', 'er', 'stiftet', 'af', 'kristian', 'leth', 'og', 'fridolin', 'og', 'frederik', 'nordsø', 'are', 'we', 'brothers', 'har', 'optrådt', 'på', 'spot', 'festival', 'i', 'århus']"
Baal (musikgruppe),"['for', 'alternative', 'betydninger', 'se', 'baal', 'flertydig', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'baal', 'baal', 'er', 'et', 'dansk', 'rockband', 'etableret', 'i', 'af', 'david', 'kampmann', 'som', 'dog', 'forlod', 'bandet', 'i', 'og', 'bjørn', 'fjæstad']"
Baby Woodrose,"['baby', 'woodrose', 'er', 'et', 'dansk', 'rockband', 'der', 'har', 'taget', 'navn', 'efter', 'den', 'hallucinogene', 'plante', 'hawaiian', 'baby', 'woodrose', 'de', 'spiller', 'musik', 'der', 'er', 'inspireret', 'af', 'ernes', 'og', 'ernes', 'psykedeliske', 'rock', 'garagepunk', 'med', 'grupper', 'som', 'chocolate', 'watchband', 'love', 'the', 'byrds', 'th', 'floor', 'elevators', 'gruppen', 'blev', 'dannet', 'i', 'af', 'frontmanden', 'lorenzo', 'woodrose', 'som', 'på', 'det', 'daværende', 'tidspunkt', 'stadigvæk', 'var', 'trommeslager', 'i', 'bandet', 'on', 'trial', 'han', 'indspillede', 'selv', 'sange', 'med', 'sig', 'selv', 'ved', 'samtlige', 'instrumenter', 'herefter', 'udgav', 'han', 'ligeledes', 'selv', 'debutalbummet', 'blows', 'your', 'mind', 'efterhånden', 'voksede', 'bandet', 'med', 'yderligere', 'to', 'personer', 'så', 'de', 'blev', 'til', 'tre', 'personer', 'siden', 'starten', 'i', 'har', 'de', 'udgivet', 'et', 'væld', 'af', 'materiale', 'der', 'blandt', 'andet', 'inkluderer', 'et', 'samarbejde', 'med', 'peter', 'belli', 'i', 'åbnede', 'baby', 'woodrose', 'roskilde', 'festival', 'på', 'deres', 'orange', 'scene', 'og', 'lukkede', 'året', 'efter', 'den', 'samme', 'scene', 'under', 'titlen', 'an', 'evening', 'with', 'baby', 'woodrose', 'samme', 'år', 'var', 'de', 'nomineret', 'til', 'en', 'danish', 'music', 'award', 'som', 'de', 'dog', 'ikke', 'vandt', 'men', 'de', 'fik', 'til', 'gengæld', 'tildelt', 'p', 'prisen', 'ved', 'p', 'guld', 'dette', 'år', 'siden', 'har', 'baby', 'woodrose', 'spillet', 'som', 'både', 'en', 'kvartet', 'og', 'kvintet', 'med', 'et', 'skiftende', 'lineup', 'af', 'musikere', 'fra', 'den', 'danske', 'undergrund']"
Ballet Mécanique (band),"['for', 'alternative', 'betydninger', 'se', 'ballet', 'mcanique', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'ballet', 'mcanique', 'ballet', 'mcanique', 'var', 'et', 'dansk', 'postpunkpunkband', 'bestående', 'af', 'sanger', 'og', 'multiinstrumentalist', 'martin', 'hall', 'på', 'bla', 'guitar', 'og', 'flygel', 'trommeslager', 'michael', 'karshøj', 'og', 'bassist', 'og', 'violinist', 'morten', 'versner', 'genremæssigt', 'arbejdede', 'ballet', 'mcanique', 'indenfor', 'postpunken', 'med', 'sporadiske', 'regulære', 'punkelementer', 'denne', 'genrebeskrivelse', 'er', 'dog', 'ikke', 'helt', 'dækkende', 'for', 'bandet', 'der', 'eksperimenterede', 'bredere', 'og', 'tydeligt', 'skubbede', 'til', 'de', 'genremæssige', 'grænser', 'ballet', 'mcaniques', 'mangefacetterede', 'musikalske', 'udtryk', 'var', 'inciterende', 'overlagt', 'monotont', 'det', 'lå', 'i', 'tiden', 'og', 'legendefabulerende', 'musikken', 'spillede', 'på', 'mange', 'følelsesmæssige', 'tangenter', 'som', 'sørgmodighed', 'desperation', 'og', 'skørhed', 'som', 'udtryk', 'for', 'afmagtdesillusion', 'og', 'numrene', 'vekslede', 'ofte', 'arrangementsmæssigt', 'mellem', 'struktur', 'og', 'styret', 'opløsning', 'bandet', 'og', 'ikke', 'mindst', 'den', 'nemt', 'genkendelige', 'vokal', 'havde', 'en', 'umiskendelig', 'britisk', 'tone', 'ballet', 'mcanique', 'skabte', 'deres', 'eget', 'unikke', 'og', 'komplekse', 'musikalske', 'univers', 'med', 'intellektuelletænksommereflekterende', 'tekstmæssige', 'over', 'og', 'undertoner', 'ballet', 'mcanique', 'spillede', 'bla', 'til', 'de', 'stort', 'anlagte', 'punkfestivaler', 'concerto', 'de', 'nobrainos', 'insanos', 'og', 'nosferatu', 'festival', 'en', 'tidlig', 'inkarnation', 'af', 'bandet', 'hed', 'identity', 'og', 'spillede', 'til', 'concert', 'of', 'the', 'moment', 'identity', 'var', 'stort', 'set', 'samme', 'band', 'som', 'ballet', 'mcanique', 'blot', 'med', 'henrik', 'nordahl', 'på', 'trommer', 'i', 'stedet', 'for', 'michael', 'karshøj', 'ballet', 'mcaniques', 'debutkoncert', 'var', 'sandsynligvis', 'i', 'rockmaskinen', 'den', 'februar', 'identitys', 'debut', 'var', 'til', 'concert', 'of', 'the', 'moment', 'den', 'november', 'martin', 'hall', 'opløste', 'gruppen', 'ved', 'at', 'læse', 'en', 'opløsningsdeklaration', 'højt', 'for', 'publikum', 'under', 'deres', 'sidste', 'koncert', 'på', 'det', 'hedengangne', 'punkspillested', 'saltlageret', 'den', 'oktober', 'bandnavnet', 'ballet', 'mcanique', 'er', 'taget', 'fra', 'fernand', 'lgers', 'eksperimentalfilm', 'fra', 'af', 'samme', 'navn', 'titlen', 'på', 'bandets', 'debutalbum', 'the', 'icecold', 'waters', 'of', 'the', 'egocentric', 'calculation', 'er', 'en', 'tekstbid', 'hentet', 'i', 'første', 'kapitel', 'af', 'det', 'kommunistiske', 'manifest', 'bandet', 'udgav', 'singlen', 'avenues', 'of', 'oblivion', 'better', 'day', 'records', 'samt', 'de', 'to', 'albums', 'the', 'icecold', 'waters', 'of', 'the', 'egocentric', 'calculation', 'cbs', 'sony', 'bmg', 'og', 'for', 'cbs']"
Bamses Venner,"['der', 'er', 'for', 'få', 'eller', 'ingen', 'kildehenvisninger', 'i', 'denne', 'artikel', 'hvilket', 'er', 'et', 'problem', 'du', 'kan', 'hjælpe', 'ved', 'at', 'angive', 'troværdige', 'kilder', 'til', 'de', 'påstande', 'som', 'fremføres', 'i', 'artiklen', 'bamses', 'venner', 'var', 'et', 'dansk', 'poporkester', 'der', 'eksisterede', 'fra', 'til', 'gruppens', 'leder', 'og', 'faste', 'frontfigur', 'var', 'flemming', 'bamse', 'jørgensen', 'der', 'sang', 'spillede', 'bas', 'og', 'skrev', 'de', 'fleste', 'sange', 'en', 'del', 'musikere', 'har', 'spillet', 'i', 'gruppen', 'der', 'i', 'ud', 'over', 'bamse', 'selv', 'omfattede', 'peter', 'bødker', 'piano', 'orgel', 'guitar', 'frank', 'thøgersen', 'trommer', 'percussion', 'og', 'anders', 'lampe', 'guitar', 'i', 'vandt', 'gruppen', 'dansk', 'melodi', 'grand', 'prix', 'med', 'sangen', 'tænker', 'altid', 'på', 'dig', 'der', 'ved', 'eurovision', 'song', 'contest', 'med', 'point', 'opnåede', 'en', 'plads', 'blandt', 'de', 'deltagere', 'blandt', 'gruppens', 'kendte', 'numre', 'er', 'også', 'vimmersvej', 'i', 'en', 'lille', 'båd', 'der', 'gynger', 'og', 'hvorfor', 'går', 'louise', 'til', 'bal', 'gruppen', 'spillede', 'traditionelt', 'den', 'sidste', 'koncert', 'ved', 'vordingborg', 'festuge', 'efter', 'flemming', 'bamse', 'jørgensens', 'død', 'nytårsnat', 'blev', 'der', 'straks', 'spekuleret', 'i', 'hvorvidt', 'bamses', 'venner', 'ville', 'fortsætte', 'uden', 'sin', 'populære', 'frontfigur', 'udfaldet', 'blev', 'at', 'vennerne', 'fortsatte', 'til', 'et', 'par', 'enkelte', 'koncerter', 'der', 'var', 'planlagt', 'før', 'bamses', 'død', 'med', 'stig', 'rossen', 'som', 'forsanger', 'samt', 'ved', 'mindekoncerten', 'for', 'bamse', 'i', 'nrgi', 'arena', 'i', 'aarhus', 'disse', 'koncerter', 'blev', 'startskuddet', 'til', 'at', 'stig', 'rossen', 'og', 'de', 'resterende', 'medlemmer', 'af', 'bamses', 'venner', 'sammen', 'dannede', 'gruppen', 'stig', 'rossen', 'amp', 'vennerne', 'der', 'sammen', 'er', 'draget', 'på', 'landevejen', 'for', 'at', 'hylde', 'bamse', 'og', 'hans', 'musik']"
