pageid,title,member,cleaned_member
489818,A Friend in London,['Tim Schou'],['Tim Schou']
157530,Ache,"['Per Wium', 'Peter Mellin', 'Finn Olafsson', 'Steen Toft Andersen', 'Torsten Olafsson']","['Per Wium', 'Peter Mellin', 'Finn Olafsson', 'Steen Toft Andersen', 'Torsten Olafsson']"
255559,ADS (band),"['Michael ""Funder"" Thorlasius', 'Stig Pedersen', 'Søren ""Slys"" Johnsen', 'Karsten Hjarsø', 'Peter Top-Jensen', 'Lars Top-Galia', 'Martin Krogh']","['Michael Funder Thorlasius', 'Stig Pedersen', 'Søren Slys Johnsen', 'Karsten Hjarsø', 'Peter Top-Jensen', 'Lars Top-Galia', 'Martin Krogh']"
976777,Agathorn,[],[]
493993,Alabama Black Snakes,[],[]
279528,The Alligators,"['Ole Ballund', 'Jens Dan', 'Niels Mathiasen', 'Morten Kjeldsen']","['Ole Ballund', 'Jens Dan', 'Niels Mathiasen', 'Morten Kjeldsen']"
119543,Alrune Rod,"['Leif Roden (Nielsen)', 'Flemming Giese Rasmussen', 'Kurt', 'Pastor', 'Ziegler Simonsen', 'Claus From Rasmussen', 'Ole Poulsen', 'Tom Lunden', 'Karsten Høst', 'Mikael Miller']","['Leif Roden', 'Flemming Giese Rasmussen', 'Kurt', 'Pastor', 'Ziegler Simonsen', 'Claus From Rasmussen', 'Ole Poulsen', 'Tom Lunden', 'Karsten Høst', 'Mikael Miller']"
236565,Alter Ego (band),[],[]
81767,Amazonair,[],[]
402863,Among Relatives,[],[]
402867,Are We Brothers?,[],[]
487179,Art in Disorder,[],[]
484199,Avalyn,[],[]
285162,Baal (musikgruppe),"['Bjørn Fjæstad', 'Troels Skjærbæk', 'Morten Lundsgaard', 'Henrik Sten Melander', 'Kenni Andy Jørgensen']","['Bjørn Fjæstad', 'Troels Skjærbæk', 'Morten Lundsgaard', 'Henrik Sten Melander', 'Kenni Andy Jørgensen']"
968557,Baby in Vain,"['Lola Hammerich', 'Benedicte Pierleoni', 'Andrea Thuesen']","['Lola Hammerich', 'Benedicte Pierleoni', 'Andrea Thuesen']"
77908,Baby Woodrose,"['Lorenzo Woodrose', 'Fuzz Daddy', 'Moody Guru', 'Johan Lei Gellet', 'Adam Olson', 'Yobo', 'Geronimo', 'Kåre Joensen', '[', '1', ']']","['Lorenzo Woodrose', 'Fuzz Daddy', 'Moody Guru', 'Johan Lei Gellet', 'Adam Olson', 'Yobo', 'Geronimo', 'Kåre Joensen']"
921835,Balance (band),"['Jan Nørby', 'Søren Skøtt', 'Benjamin Jensen', 'Hasse Krüger', 'Thomas Fallemann', 'Bjarke Nilsson', 'Tessa']","['Jan Nørby', 'Søren Skøtt', 'Benjamin Jensen', 'Hasse Krüger', 'Thomas Fallemann', 'Bjarke Nilsson', 'Tessa']"
143307,Ballet Mécanique (band),"['Martin Hall', 'Michael Karshøj', 'Morten Versner']","['Martin Hall', 'Michael Karshøj', 'Morten Versner']"
