pageid,group,cleaned_member,disc_members,all_members
489818,A Friend in London,['Tim Schou'],"['Tim Schou', 'Esben Svane', 'Aske Damm Bramming', 'Sebastian Vinther Olsen']","['Aske Damm Bramming', 'Esben Svane', 'Sebastian Vinther Olsen', 'Tim Schou']"
157530,Ache,"['Per Wium', 'Peter Mellin', 'Finn Olafsson', 'Steen Toft Andersen', 'Torsten Olafsson']",[],"['Finn Olafsson', 'Per Wium', 'Peter Mellin', 'Steen Toft Andersen', 'Torsten Olafsson']"
255559,ADS (band),"['Michael Funder Thorlasius', 'Stig Pedersen', 'Søren Slys Johnsen', 'Karsten Hjarsø', 'Peter Top-Jensen', 'Lars Top-Galia', 'Martin Krogh']",[],"['Karsten Hjarsø', 'Lars Top-Galia', 'Martin Krogh', 'Michael Funder Thorlasius', 'Peter Top-Jensen', 'Stig Pedersen', 'Søren Slys Johnsen']"
976777,Agathorn,[],[],[]
493993,Alabama Black Snakes,"['Jonas Jessen', 'Hank Lee Tuffer', 'Mads Østergaard (2)', 'Gustav Pontoppidan', 'Rasmus Christian Larsen']",[],"['Gustav Pontoppidan', 'Hank Lee Tuffer', 'Jonas Jessen', 'Mads Østergaard (2)', 'Rasmus Christian Larsen']"
279528,The Alligators,"['Ole Ballund', 'Jens Dan', 'Niels Mathiasen', 'Morten Kjeldsen']",[],"['Jens Dan', 'Morten Kjeldsen', 'Niels Mathiasen', 'Ole Ballund']"
119543,Alrune Rod,"['Leif Roden', 'Flemming Giese Rasmussen', 'Kurt', 'Pastor', 'Ziegler Simonsen', 'Claus From Rasmussen', 'Ole Poulsen', 'Tom Lunden', 'Karsten Høst', 'Mikael Miller']",[],"['Claus From Rasmussen', 'Flemming Giese Rasmussen', 'Karsten Høst', 'Kurt', 'Leif Roden', 'Mikael Miller', 'Ole Poulsen', 'Pastor', 'Tom Lunden', 'Ziegler Simonsen']"
236565,Alter Ego (band),"['Roman Flügel', 'Jörn Elling Wuttke']",[],"['Jörn Elling Wuttke', 'Roman Flügel']"
81767,Amazonair,[],[],[]
402863,Among Relatives,"['Christian Sekjær', 'Josefine Dalsgaard', 'Jimmy Andersen', 'Frederik Kjærholm Elsner', 'Anders Haaning']",[],"['Anders Haaning', 'Christian Sekjær', 'Frederik Kjærholm Elsner', 'Jimmy Andersen', 'Josefine Dalsgaard']"
402867,Are We Brothers?,"['Lasse Boman', 'Birk Nevel', 'Shaka Loveless', 'Benjamin Kissi']",[],"['Benjamin Kissi', 'Birk Nevel', 'Lasse Boman', 'Shaka Loveless']"
487179,Art in Disorder,"['Hiroyuki Suzuki (6)', 'Takeshi Uno (2)', 'Tsubasa Nakada', 'Hideo Nekota', 'Yoshii Izumida', 'Yoshiro Chiba']",[],"['Hideo Nekota', 'Hiroyuki Suzuki (6)', 'Takeshi Uno (2)', 'Tsubasa Nakada', 'Yoshii Izumida', 'Yoshiro Chiba']"
484199,Avalyn,"['Peter Mathiasen', 'Kåre Mads Hansen', 'Kristian Juhl Bang', 'Theis Ellegaard Jakobsen']",[],"['Kristian Juhl Bang', 'Kåre Mads Hansen', 'Peter Mathiasen', 'Theis Ellegaard Jakobsen']"
285162,Baal (musikgruppe),"['Bjørn Fjæstad', 'Troels Skjærbæk', 'Morten Lundsgaard', 'Henrik Sten Melander', 'Kenni Andy Jørgensen']",[],"['Bjørn Fjæstad', 'Henrik Sten Melander', 'Kenni Andy Jørgensen', 'Morten Lundsgaard', 'Troels Skjærbæk']"
968557,Baby in Vain,"['Lola Hammerich', 'Benedicte Pierleoni', 'Andrea Thuesen']",[],"['Andrea Thuesen', 'Benedicte Pierleoni', 'Lola Hammerich']"
77908,Baby Woodrose,"['Lorenzo Woodrose', 'Fuzz Daddy', 'Moody Guru', 'Johan Lei Gellet', 'Adam Olson', 'Yobo', 'Geronimo', 'Kåre Joensen']",[],"['Adam Olson', 'Fuzz Daddy', 'Geronimo', 'Johan Lei Gellet', 'Kåre Joensen', 'Lorenzo Woodrose', 'Moody Guru', 'Yobo']"
921835,Balance (band),"['Jan Nørby', 'Søren Skøtt', 'Benjamin Jensen', 'Hasse Krüger', 'Thomas Fallemann', 'Bjarke Nilsson', 'Tessa']",[],"['Benjamin Jensen', 'Bjarke Nilsson', 'Hasse Krüger', 'Jan Nørby', 'Søren Skøtt', 'Tessa', 'Thomas Fallemann']"
143307,Ballet Mécanique (band),"['Martin Hall', 'Michael Karshøj', 'Morten Versner']",[],"['Martin Hall', 'Michael Karshøj', 'Morten Versner']"
243106,Bamses Venner,"['Flemming Jørgensen', 'Arne Østergaard', 'Mogens Balle', 'Jan Locht', 'Frank Thøgersen']",[],"['Arne Østergaard', 'Flemming Jørgensen', 'Frank Thøgersen', 'Jan Locht', 'Mogens Balle']"
143605,Beefeaters (band),"['Søren Seirup', 'Peter Thorup']",[],"['Peter Thorup', 'Søren Seirup']"
451743,Before,"['Jerry Ropero', 'Jose Antonio Martín']",[],"['Jerry Ropero', 'Jose Antonio Martín']"
402870,Before The Show,"['Laurids Smedegaard', 'Kasper Ebdrup', 'Andreas Stæhr', 'Andreas Birkegaard Stær', 'Maya-Maria Stæhr']",[],"['Andreas Birkegaard Stær', 'Andreas Stæhr', 'Kasper Ebdrup', 'Laurids Smedegaard', 'Maya-Maria Stæhr']"
