pageid,title
178188,Peter Abrahamsen
200453,Troels Abrahamsen
85905,Al Agami
233947,Kuku Agami
1034198,Alma Agger
970663,Jeanett Albeck
436448,Patrick Alexander
7448,Alexandra af Frederiksborg
489017,Alouise
111779,Carl Alstrup
276492,Alex Ambrose
1119886,Ida Ambrose
689877,Kamilia Amélie
346233,Bo Andersen (sanger)
141756,Dorthe Andersen
146559,Jacob Andersen (sanger)
304094,Frans Andersson
923358,Bastian Lars Andreasen
115463,Annapurna (sanger)
203593,Anne Grete
798071,Annelouise
237032,Lotte Arnsbjerg
356761,Edward Aroutounjan
170683,Marie Askehave
282078,Aura (sanger)
494463,Babou
1005109,Ove Bager
112322,Vivi Bak
1029957,Tanne Amanda Balcells
184013,Marcelino Ballarin
1016842,Gertrude Barrison
992528,Nanna Barslev
417964,Thomas Barsøe
303798,Basim
249863,Ellen Beck
392991,Michel Belli
116271,Peter Belli
735146,Elias Bender Rønnenfelt
915016,Ulle Bjørn Bengtsson
291037,Søren Bernbom
752423,Maud Bertelsen
734069,Ole Berthelsen (sanger)
442514,Thomas Bickham
188904,Viggo Bielefeldt
83370,Pedro Biker
500388,Katrine Bille
413491,Mogens Binderup
277707,Jesper Binzer
37236,Jodle Birge
525778,Michelle Birkballe
472500,Lars Bisgaard
105902,Jonas Bjerre (sanger)
287131,Sys Bjerre
1007072,Katinka Bjerregaard
863751,Anette Blegvad
226776,Anders Blichfeldt
396299,Helene Blum
107388,Hanne Boel
683639,Christina Boelskifte
419673,Axel Boisen
439093,Sofie Bonde
231680,Stine Bramsen
490570,Christopher Brandt
489473,Kalle Brandt
1036734,Niels Brandt
243405,Jacob Bredahl
214309,Søren Bregendal
1121340,Brimheim
282349,Niels Brinck
258418,Carl Brisson
260252,Jens Brixtofte
931921,Bro (sanger)
415603,Ester Brohus
322914,Ida Brun
251864,Amalie Bruun
121121,Birgit Brüel
221850,Kaya Brüel
467844,Rebecca Brüel
271512,Sanne Brüel
1098098,Clara Bryld
252692,Christian Brøns
323982,Birthe Buch
164425,Philippa Bulgin
110377,Michael Bundesen
12097,Poul Bundgaard
828247,Søren Bundgaard
324794,Thomas Buttenschøn
358257,Katy Bødtger
413296,Lise Cabble
117408,Etta Cameron
461867,Simone Cameron
117533,Dario Campeotto
459817,Keith Canisius
481876,Pernille Pettersson Carmohn
131580,Michael Carøe
799570,Caroline Castell
417995,Christina Chanée
1055720,Chapper
362210,Chief 1
755454,Chresten (sanger)
43910,Tim Christensen
852988,Christine Christiansen
565617,Christopher (sanger)
799379,Cisilia
976459,Saint Clara
97676,Cleo
197203,Pia Cohn
316026,Ulla Cold
156056,Jimmy Colding
106111,Victor Cornelius
171654,Ida Corr
1017704,Marluze da Cruz
40588,Cæsar (protestsanger)
1145607,D1MA
910079,Jonas Dahl (musiker)
413374,Erling Dalsborg
253801,Lise Dandanell
692715,Chris Dane
499780,Daniel (sanger)
1109990,Katrine Daugaard
110802,Anna David
402986,Erann DD
170552,Mikael Dehn
83605,Lonnie Devantier
200645,Per Dich
61978,Tina Dickow
112147,Dicte (sanger)
107971,René Dif
939192,Jacob Dinesen
33453,Povl Dissing
964671,Thøger Dixgaard
716675,Kristina Djarling
1012562,Patrick Dorgan
618641,DQ (sanger)
443629,Cecilie Dyrberg
902935,Albert Dyrlund
995415,Susanne Dähn-Leach
890985,Malte Ebert
448020,Elisabeth Edberg
444507,Teddy Edelmann
406546,Sinne Eeg
86895,Kasper Eistrup
115137,Thomas Eje
977138,Amir El-Falaki
239904,Ann-Mette Elten
1133742,Laurits Emanuel
217802,Helge Engelbrecht
550368,Engelina
179236,Louise Engell
413142,Søren Eppler
170745,Birgit Boline Erfurt
364503,Ulla Tvede Eriksen
824293,Emilie Esther
932352,Nellie Ettison
491911,Karin Eurén
292651,René Evald
755292,Mathilde Falch
58806,Michael Falch
322010,Katrine Falkenberg
403325,Fallulah
873879,Thor Farlov
451752,Fritz Fatal
228504,Lotte Feder
41491,Søs Fenger
796885,Morten Fillipsen
1046000,Filuka
720602,Jørgen Fonemy
435863,Lukas Forchhammer
692110,Emmelie de Forest
271722,Nina Forsberg
