pageid,title,cleaned_member
489818,A Friend in London,['Tim Schou']
157530,Ache,"['Per Wium', 'Peter Mellin', 'Finn Olafsson', 'Steen Toft Andersen', 'Torsten Olafsson']"
255559,ADS (band),"['Michael Funder Thorlasius', 'Stig Pedersen', 'Søren Slys Johnsen', 'Karsten Hjarsø', 'Peter Top-Jensen', 'Lars Top-Galia', 'Martin Krogh']"
976777,Agathorn,[]
493993,Alabama Black Snakes,"['Jonas Jessen', 'Hank Lee Tuffer', 'Mads Østergaard (2)', 'Gustav Pontoppidan', 'Rasmus Christian Larsen']"
279528,The Alligators,"['Ole Ballund', 'Jens Dan', 'Niels Mathiasen', 'Morten Kjeldsen']"
119543,Alrune Rod,"['Leif Roden', 'Flemming Giese Rasmussen', 'Kurt', 'Pastor', 'Ziegler Simonsen', 'Claus From Rasmussen', 'Ole Poulsen', 'Tom Lunden', 'Karsten Høst', 'Mikael Miller']"
236565,Alter Ego (band),"['Roman Flügel', 'Jörn Elling Wuttke']"
81767,Amazonair,[]
402863,Among Relatives,"['Christian Sekjær', 'Josefine Dalsgaard', 'Jimmy Andersen', 'Frederik Kjærholm Elsner', 'Anders Haaning']"
402867,Are We Brothers?,"['Lasse Boman', 'Birk Nevel', 'Shaka Loveless', 'Benjamin Kissi']"
487179,Art in Disorder,"['Hiroyuki Suzuki (6)', 'Takeshi Uno (2)', 'Tsubasa Nakada', 'Hideo Nekota', 'Yoshii Izumida', 'Yoshiro Chiba']"
484199,Avalyn,"['Peter Mathiasen', 'Kåre Mads Hansen', 'Kristian Juhl Bang', 'Theis Ellegaard Jakobsen']"
285162,Baal (musikgruppe),"['Bjørn Fjæstad', 'Troels Skjærbæk', 'Morten Lundsgaard', 'Henrik Sten Melander', 'Kenni Andy Jørgensen']"
968557,Baby in Vain,"['Lola Hammerich', 'Benedicte Pierleoni', 'Andrea Thuesen']"
77908,Baby Woodrose,"['Lorenzo Woodrose', 'Fuzz Daddy', 'Moody Guru', 'Johan Lei Gellet', 'Adam Olson', 'Yobo', 'Geronimo', 'Kåre Joensen']"
921835,Balance (band),"['Jan Nørby', 'Søren Skøtt', 'Benjamin Jensen', 'Hasse Krüger', 'Thomas Fallemann', 'Bjarke Nilsson', 'Tessa']"
143307,Ballet Mécanique (band),"['Martin Hall', 'Michael Karshøj', 'Morten Versner']"
243106,Bamses Venner,"['Flemming Jørgensen', 'Arne Østergaard', 'Mogens Balle', 'Jan Locht', 'Frank Thøgersen']"
143605,Beefeaters (band),"['Søren Seirup', 'Peter Thorup']"
451743,Before,"['Jerry Ropero', 'Jose Antonio Martín']"
402870,Before The Show,"['Laurids Smedegaard', 'Kasper Ebdrup', 'Andreas Stæhr', 'Andreas Birkegaard Stær', 'Maya-Maria Stæhr']"
463868,Beta Satan,"['Morten Riis', 'Kåre R. Hansen', 'Johannes Gammelby', 'Klaus Hedegaard Nielsen']"
37653,Bifrost (musikgruppe),"['Tom Lundén', 'Finn Jensen', 'Torben Andersen', 'Ida Klemann']"
44135,Big Fat Snake,"['Anders Blichfeldt', 'Asger Steenholdt', 'Pete Repete', 'Jens Fredslund', 'Morten Jay Jakobsen', 'Holger Kølle', 'Jacob Perbøll', 'Peter Viskinde']"
295013,Big Mama,[]
1134918,Bitch Boys,"['Anne Linnet', 'Berit Fridahl', 'Jette Schandorf', 'Rikke Veth']"
424545,Black City,"['Bjørn Poulsen', 'Kristian Klærke', 'Anders Borre Mathiesen', 'Jakob Bjørn Hansen', 'Torleik Mortensen', 'Mixen Lindberg']"
435609,Blue Sun,"['Roy Sela', 'Avraham Gindos']"
405812,The Blue Van,"['Steffen Westmark', 'Søren Christensen', 'Allan Fjeldgaard Villadsen', 'Per Mølgaard Jørgensen']"
1050262,Blues Power,[]
421199,Blunt (band),"['Jimmie Tagesen', 'Jakob Barndorff-Nielsen', 'Jacob Lyngsdal', 'Mikkel Govertz', 'Anders Enøe', 'Lasse Enøe', 'Niels Bach Storgaard', 'Hans Peter Mululu', 'Viggo Jørgensen', 'Jesper Friis', 'Günther Bach', 'Martin Robert Madsen', 'Mads Schaarup', 'Feike van der Woude']"
969259,Boat Man Love,"['Troels Skjærbæk', 'Lars Skjærbæk', 'Søren Koch', 'Johan Lei Gellett']"
409946,Bodies Of Work,['Martin Bjørck']
299905,Bollocks,"['Yoh (2)', 'Ishitobi', 'Kohichi Konda', 'Akio (8)']"
686358,Bombay Rockers,['Navtej Singh Rehal']
303648,Brats,"['Michael Denner', 'Carsten Van Der Volsing', 'Lars Monroe', 'Eddie Haircut', 'Sniff Høkerberg', 'Franz De Zaster', 'Rene Krolmark', 'Yenz Arnsted']"
209815,The Breakers,"['Toke Nisted', 'Anders Bruus', 'Jackie Larsen', 'Mikkel Holtoug', 'Lukas Scherfig', 'Mikkel Hald', 'Daniel Hecht', 'Thomas Stølsvig']"
395203,The Broken Beats,"['Kim Munk', 'Simon Stadsholt', 'Henrik Lynbech', 'Mads Tønder']"
418711,The Bronson Brothers,"['Ted Bronson, Clyde Bronson, Malle, Zeu, Mr. Toby Diamonds']"
653128,Buoyant Blue,"['Lars Lundholm', 'Peter Peter Schneidermann', 'Peter Guldbæk', 'Lars Stabell', 'Ping Schiøler']"
501246,Cancer (band),[]
121899,Carpark North,"['Lau Højen', 'Søren Balsner', 'Morten Thorhauge']"
448785,Chainsaw Eaters,"['Kim Wolf Andersen', 'Lars Buch Laursen']"
974892,Charlatangruppen,['Thorstein Thomsen']
178662,Christianshavns Bluesband,"['Lone Kellermann', 'Franz Beckerlee', 'Sten Haxø', 'Søren Berlev', 'Peter Mandorf', 'Krølle Erik', 'Pede Meyer']"
481670,The City Kill,"['Matthew Moller', 'Bjarke Mønsted', 'Signe Elin Gram', 'Tobias Bendixen']"
451774,City-X,"['Gert Oestrich', 'Hanseqrt', 'Lars Grønning']"
199043,Cola Freaks,"['Mads', 'Morten', 'Jacob', 'Anders', 'Kasper', 'Kristoffer']"
402911,The Company,['Rasmus Hedegaard']
82549,Coolsville,"['Rasmus Valldorf', 'Morten Dybdahl', 'Paw Eriksen', 'Jonas Breum']"
459233,Culpeper's Orchard,"['Nils Tuxen', 'Nils Henriksen', 'Cy Nicklin', 'Ken Gudman', 'Michael Friis', 'Thor Backhausen', 'Tom McEwan', 'Niels Vangkilde', 'Rodger Barker', 'Thomas Puggaard-Müller']"
200537,"Cy, Maia & Robert","['Cy Nicklin', 'Robert Lelievre', 'Maia Aarskov']"
826862,Daisy (band),"['Lars Muhl', 'Frank Lorentzen', 'Eigil Madsen', 'Lars Schrøder', 'Søren Madsen', 'Poul Erik Veigaard', 'Flemming Walsøe Therkelsen', 'Ulf Larsen', 'Erik Falck Johansen', 'Jacob Perbøll']"
563081,Dance with Dirt,"['Magnus Fra Ramasjang Jacobsen', 'Kristoffer Veirum', 'Mikkel Frej Eriksen', 'Jonathan Lyby', 'Jess Gertsen']"
905768,Day Of Phoenix,"['Erik Stedt', '', 'Hans Lauridsen', '', 'Henrik Friis', '', 'Jess Stæhr', '', 'Karsten Lyng', '']"
948279,De Forbandede,"['Peter Østergaard Christensen', 'Nicolei Martin Aagaard Rasmussen', 'Michael Hansen Buur', 'Ricky Christensen']"
979006,De Underjordiske,"['Andreas Bengtsen', 'Kristian Bengtsen', 'Peter Kure', 'Thomas Balslev Brandt', 'Anders Colstrup Hvass', 'Christian Vind Skibdal', 'Astrid Samuelsen']"
379473,Dead End City,"['Mads Donkin', 'Tue Johansson', 'Nikolaj Kindtler', 'Anton Bak', 'Emil Dinsen']"
263144,Dear,"['Laust Sonne', 'Jesper Elnegaard', 'Kåre Joensen', 'Louise Preisler', 'Johan Stahl', 'Oliver Hoiness', 'Rune Kjeldsen']"
976878,Death By Kite,"['Gøtzsche Lange', 'Sidsel Marie Hermansen', 'Kristian Kimer', 'Mikkel Holtoug']"
668320,Death Valley Sleepers,"['Tobias Winberg', 'Adam Winberg', 'Henrik Heinzz Malm', 'Christian Ki Dall']"
139727,The Defenders,['Alric Forbes']
458130,Delta Blues Band,"['Troels Jensen', 'Knut Henriksen', 'Danny Linde']"
477720,Delta Cross Band,"['Aske Jacoby', 'Ivan Horn', 'Thomas Grue', 'Erik Falck', 'Lars Hybel', 'Nils Henriksen', 'Søren Engel', 'Per Wium', 'René Wulff', 'Thorstein Thomsen', 'Preben Feddersen', 'Troels Jensen', 'Pete Repete', 'Lotte Rømer', 'Carsten Valentin Jørgensen', 'Gert Smedegaard', 'Billy Schwartz', 'Mick Moloney (2)']"
462520,Diamond Drive,"['Patrick McCaffrey', 'Anders Berg', 'Kalle Herborg', 'Troels Pedersen', 'Nikolaj jensen', 'Jens Moss', 'Christoffer Vengsgaard']"
