pageid,title,name
178188,Peter Abrahamsen,Peter Abrahamsen
200453,Troels Abrahamsen,Troels Abrahamsen
85905,Al Agami,Al Agami
233947,Kuku Agami,Kuku Agami
1034198,Alma Agger,Alma Agger
970663,Jeanett Albeck,Jeanett Albeck
436448,Patrick Alexander,Patrick Alexander
7448,Alexandra af Frederiksborg,Alexandra af Frederiksborg
489017,Alouise,Alouise
111779,Carl Alstrup,Carl Alstrup
276492,Alex Ambrose,Alex Ambrose
1119886,Ida Ambrose,Ida Ambrose
689877,Kamilia Amélie,Kamilia Amélie
346233,Bo Andersen (sanger),Bo Andersen
141756,Dorthe Andersen,Dorthe Andersen
146559,Jacob Andersen (sanger),Jacob Andersen
304094,Frans Andersson,Frans Andersson
923358,Bastian Lars Andreasen,Bastian Lars Andreasen
115463,Annapurna (sanger),Annapurna
203593,Anne Grete,Anne Grete
798071,Annelouise,Annelouise
237032,Lotte Arnsbjerg,Lotte Arnsbjerg
356761,Edward Aroutounjan,Edward Aroutounjan
170683,Marie Askehave,Marie Askehave
282078,Aura (sanger),Aura
494463,Babou,Babou
1005109,Ove Bager,Ove Bager
112322,Vivi Bak,Vivi Bak
1029957,Tanne Amanda Balcells,Tanne Amanda Balcells
184013,Marcelino Ballarin,Marcelino Ballarin
1016842,Gertrude Barrison,Gertrude Barrison
992528,Nanna Barslev,Nanna Barslev
417964,Thomas Barsøe,Thomas Barsøe
303798,Basim,Basim
249863,Ellen Beck,Ellen Beck
392991,Michel Belli,Michel Belli
116271,Peter Belli,Peter Belli
735146,Elias Bender Rønnenfelt,Elias Bender Rønnenfelt
915016,Ulle Bjørn Bengtsson,Ulle Bjørn Bengtsson
291037,Søren Bernbom,Søren Bernbom
752423,Maud Bertelsen,Maud Bertelsen
734069,Ole Berthelsen (sanger),Ole Berthelsen
442514,Thomas Bickham,Thomas Bickham
188904,Viggo Bielefeldt,Viggo Bielefeldt
83370,Pedro Biker,Pedro Biker
500388,Katrine Bille,Katrine Bille
413491,Mogens Binderup,Mogens Binderup
277707,Jesper Binzer,Jesper Binzer
37236,Jodle Birge,Jodle Birge
525778,Michelle Birkballe,Michelle Birkballe
472500,Lars Bisgaard,Lars Bisgaard
105902,Jonas Bjerre (sanger),Jonas Bjerre
287131,Sys Bjerre,Sys Bjerre
1007072,Katinka Bjerregaard,Katinka Bjerregaard
863751,Anette Blegvad,Anette Blegvad
226776,Anders Blichfeldt,Anders Blichfeldt
396299,Helene Blum,Helene Blum
107388,Hanne Boel,Hanne Boel
683639,Christina Boelskifte,Christina Boelskifte
419673,Axel Boisen,Axel Boisen
439093,Sofie Bonde,Sofie Bonde
231680,Stine Bramsen,Stine Bramsen
490570,Christopher Brandt,Christopher Brandt
489473,Kalle Brandt,Kalle Brandt
1036734,Niels Brandt,Niels Brandt
243405,Jacob Bredahl,Jacob Bredahl
214309,Søren Bregendal,Søren Bregendal
1121340,Brimheim,Brimheim
282349,Niels Brinck,Niels Brinck
258418,Carl Brisson,Carl Brisson
260252,Jens Brixtofte,Jens Brixtofte
931921,Bro (sanger),Bro
415603,Ester Brohus,Ester Brohus
322914,Ida Brun,Ida Brun
251864,Amalie Bruun,Amalie Bruun
121121,Birgit Brüel,Birgit Brüel
221850,Kaya Brüel,Kaya Brüel
467844,Rebecca Brüel,Rebecca Brüel
271512,Sanne Brüel,Sanne Brüel
1098098,Clara Bryld,Clara Bryld
252692,Christian Brøns,Christian Brøns
323982,Birthe Buch,Birthe Buch
164425,Philippa Bulgin,Philippa Bulgin
110377,Michael Bundesen,Michael Bundesen
12097,Poul Bundgaard,Poul Bundgaard
828247,Søren Bundgaard,Søren Bundgaard
324794,Thomas Buttenschøn,Thomas Buttenschøn
358257,Katy Bødtger,Katy Bødtger
413296,Lise Cabble,Lise Cabble
117408,Etta Cameron,Etta Cameron
461867,Simone Cameron,Simone Cameron
117533,Dario Campeotto,Dario Campeotto
459817,Keith Canisius,Keith Canisius
481876,Pernille Pettersson Carmohn,Pernille Pettersson Carmohn
131580,Michael Carøe,Michael Carøe
799570,Caroline Castell,Caroline Castell
417995,Christina Chanée,Christina Chanée
1055720,Chapper,Chapper
362210,Chief 1,Chief 1
755454,Chresten (sanger),Chresten
43910,Tim Christensen,Tim Christensen
852988,Christine Christiansen,Christine Christiansen
565617,Christopher (sanger),Christopher
799379,Cisilia,Cisilia
976459,Saint Clara,Saint Clara
97676,Cleo,Cleo
197203,Pia Cohn,Pia Cohn
316026,Ulla Cold,Ulla Cold
156056,Jimmy Colding,Jimmy Colding
106111,Victor Cornelius,Victor Cornelius
171654,Ida Corr,Ida Corr
1017704,Marluze da Cruz,Marluze da Cruz
40588,Cæsar (protestsanger),Cæsar
1145607,D1MA,D1MA
910079,Jonas Dahl (musiker),Jonas Dahl
413374,Erling Dalsborg,Erling Dalsborg
253801,Lise Dandanell,Lise Dandanell
692715,Chris Dane,Chris Dane
499780,Daniel (sanger),Daniel
1109990,Katrine Daugaard,Katrine Daugaard
110802,Anna David,Anna David
402986,Erann DD,Erann DD
170552,Mikael Dehn,Mikael Dehn
83605,Lonnie Devantier,Lonnie Devantier
200645,Per Dich,Per Dich
61978,Tina Dickow,Tina Dickow
112147,Dicte (sanger),Dicte
107971,René Dif,René Dif
939192,Jacob Dinesen,Jacob Dinesen
33453,Povl Dissing,Povl Dissing
964671,Thøger Dixgaard,Thøger Dixgaard
716675,Kristina Djarling,Kristina Djarling
1012562,Patrick Dorgan,Patrick Dorgan
618641,DQ (sanger),DQ
443629,Cecilie Dyrberg,Cecilie Dyrberg
902935,Albert Dyrlund,Albert Dyrlund
995415,Susanne Dähn-Leach,Susanne Dähn-Leach
890985,Malte Ebert,Malte Ebert
448020,Elisabeth Edberg,Elisabeth Edberg
444507,Teddy Edelmann,Teddy Edelmann
406546,Sinne Eeg,Sinne Eeg
86895,Kasper Eistrup,Kasper Eistrup
115137,Thomas Eje,Thomas Eje
977138,Amir El-Falaki,Amir El-Falaki
239904,Ann-Mette Elten,Ann-Mette Elten
1133742,Laurits Emanuel,Laurits Emanuel
217802,Helge Engelbrecht,Helge Engelbrecht
550368,Engelina,Engelina
179236,Louise Engell,Louise Engell
413142,Søren Eppler,Søren Eppler
170745,Birgit Boline Erfurt,Birgit Boline Erfurt
364503,Ulla Tvede Eriksen,Ulla Tvede Eriksen
824293,Emilie Esther,Emilie Esther
932352,Nellie Ettison,Nellie Ettison
491911,Karin Eurén,Karin Eurén
292651,René Evald,René Evald
755292,Mathilde Falch,Mathilde Falch
58806,Michael Falch,Michael Falch
322010,Katrine Falkenberg,Katrine Falkenberg
403325,Fallulah,Fallulah
873879,Thor Farlov,Thor Farlov
451752,Fritz Fatal,Fritz Fatal
228504,Lotte Feder,Lotte Feder
41491,Søs Fenger,Søs Fenger
796885,Morten Fillipsen,Morten Fillipsen
1046000,Filuka,Filuka
720602,Jørgen Fonemy,Jørgen Fonemy
435863,Lukas Forchhammer,Lukas Forchhammer
692110,Emmelie de Forest,Emmelie de Forest
271722,Nina Forsberg,Nina Forsberg
455653,Karin Cruz Forsstrøm,Karin Cruz Forsstrøm
84941,Anders Frandsen,Anders Frandsen
299193,Marie Frank,Marie Frank
452596,Freedom (DJ),Freedom
158531,Freya,Freya
18876,Louise Fribo,Louise Fribo
278406,Dodo Gad,Dodo Gad
237348,Anna Gadborg,Anna Gadborg
14504,Anne Gadegaard,Anne Gadegaard
542443,Nadia Gattas,Nadia Gattas
95454,Daimi Gentle,Daimi Gentle
1000142,Pernille Georgi,Pernille Georgi
321442,Susanne Georgi,Susanne Georgi
116487,Gerda Gilboe,Gerda Gilboe
1106335,Selina Gin,Selina Gin
242477,Nicolo Gistou,Nicolo Gistou
872651,Sarah Glerup,Sarah Glerup
1139373,Gobs,Gobs
1104021,Iris Gold,Iris Gold
862810,Emil Goll,Emil Goll
872281,Mille Gori,Mille Gori
243779,Christian Gottschalch,Christian Gottschalch
448131,Sara Grabow,Sara Grabow
327850,Sanne Graulund,Sanne Graulund
197947,Erik Grip,Erik Grip
1040750,Jesper Groth,Jesper Groth
712840,Misen Groth,Misen Groth
445313,Ib Grønbech,Ib Grønbech
1134676,Guldimund,Guldimund
298830,Inger-Lise Gaarde,Inger-Lise Gaarde
397953,Sandra Hakky,Sandra Hakky
339594,Noam Halby,Noam Halby
105203,Henrik Hall,Henrik Hall
1044396,Kate Hall,Kate Hall
507921,Philip Halloun,Philip Halloun
647679,Klaus Handsome,Klaus Handsome
869037,Bjørn Hansen (musiker),Bjørn Hansen
29012,Dagmar Hansen,Dagmar Hansen
854063,Jacob Hansen,Jacob Hansen
198051,Johnny Hansen (musiker),Johnny Hansen
448021,Viggo Happel,Viggo Happel
879566,Louise Hart,Louise Hart
94850,Niels Hausgaard,Niels Hausgaard
123426,Annette Heick,Annette Heick
423939,Hilda Heick,Hilda Heick
110195,Keld Heick,Keld Heick
974135,Britt Hein,Britt Hein
953745,Hugo Helmig,Hugo Helmig
168070,Thomas Helmig,Thomas Helmig
150529,Lasse Helner,Lasse Helner
396099,Claus Hempler,Claus Hempler
277084,Jesper Hempler,Jesper Hempler
244523,Caroline Henderson,Caroline Henderson
256656,Poul Henning,Poul Henning
112614,Ulla Henningsen,Ulla Henningsen
330957,Anne Herdorf,Anne Herdorf
266249,Heidi Herløw,Heidi Herløw
419683,Hannibal Hildorf,Hannibal Hildorf
302654,Christian Hjelm,Christian Hjelm
801422,Jullie Hjetland,Jullie Hjetland
117616,Thera Hoeymans,Thera Hoeymans
984342,Kristina Holgersen,Kristina Holgersen
190916,Emil Holm (sanger),Emil Holm
41374,Benny Holst,Benny Holst
472093,Kat Stephie Holst,Kat Stephie Holst
874789,Silje Holtan,Silje Holtan
321920,Hans Holtegaard,Hans Holtegaard
360044,Mattias Hundebøll,Mattias Hundebøll
235556,Søren Huss,Søren Huss
204769,Ivan Haki Haagensen,Ivan Haki Haagensen
82697,Gitte Hænning,Gitte Hænning
284367,Amalie Høegh,Amalie Høegh
507865,Lau Højen,Lau Højen
114339,Pernille Højmark,Pernille Højmark
412939,Martin Høybye,Martin Høybye
1126652,Laura Illeborg,Laura Illeborg
41688,Sara Indrio,Sara Indrio
176774,Inez,Inez
139481,Peter Ingemann (musiker),Peter Ingemann
98841,Grethe Ingmann,Grethe Ingmann
867486,Kjeld Ingrisch,Kjeld Ingrisch
993109,Jada,Jada
167723,Jaleesa,Jaleesa
1137961,Ericka Jane,Ericka Jane
485911,Jasmin (sanger),Jasmin
947094,Allan Jensen,Allan Jensen
101496,Frank Guldbæk Jensen,Frank Guldbæk Jensen
471354,Mette Veronica Jensen,Mette Veronica Jensen
34073,Nanna Lüders Jensen,Nanna Lüders Jensen
1160093,Theis Jensen,Theis Jensen
888594,Troels Jensen,Troels Jensen
94714,Trine Jepsen,Trine Jepsen
170000,Jan Jet,Jan Jet
500010,Jimilian,Jimilian
361952,Gry Johansen,Gry Johansen
270972,Andrew John,Andrew John
466280,Kaspar Jolin,Kaspar Jolin
370821,Camille Jones,Camille Jones
42398,Peter Jorde,Peter Jorde
983807,Julie & Nina,Julie & Nina
905316,Mette Juul,Mette Juul
931764,Per Juul,Per Juul
